,Username,WineName,Vintage,Type,Dry-Sweet,Light-Bold,Soft-Acidic,Smooth-Tannic,VivinoRating,BlendedScore,Similarity,WeightRange
0,Hedy,Cabernet Sauvignon,2017,Red,2.0,8.0,6.0,7.0,0.941,0.947,0.953,>=0.9
1,Hedy,Cabernet Shiraz,2017,Red,2.0,10.0,5.0,6.0,0.971,0.938,0.905,>=0.9
2,Hedy,Scrubby Rise Shiraz,2017,Red,3.0,9.0,5.0,6.0,0.923,0.932,0.941,>=0.9
3,Hedy,Full Berry Pinotage,2019,Red,1.0,8.0,5.0,7.0,0.923,0.922,0.922,>=0.9
4,Hedy,Old Winery Shiraz,2017,Red,2.0,10.0,6.0,6.0,0.929,0.921,0.914,>=0.9
5,Hedy,Shiraz,2018,Red,2.0,10.0,5.0,5.0,1.0,0.944,0.889,0.8 <= Weight < 0.9
6,Hedy,Merlot  ,2018,Red,1.0,7.0,2.0,3.0,0.941,0.88,0.819,0.8 <= Weight < 0.9
7,Hedy,Scrubby Red Blend,2014,Red,2.0,10.0,4.0,5.0,0.874,0.874,0.874,0.8 <= Weight < 0.9
8,Hedy,Scrubby Red Blend,2015,Red,2.0,10.0,4.0,5.0,0.85,0.862,0.874,0.8 <= Weight < 0.9
9,Hedy,Nero d'Avola Terre Siciliane IGT,2018,Red,3.0,10.0,4.0,5.0,0.83,0.862,0.893,0.8 <= Weight < 0.9
10,Hedy,San Vincenzo,2017,Red,3.0,8.0,6.0,0.0,0.765,0.767,0.769,0.75 <= Weight < 0.8
11,Hedy,San Vincenzo,2018,Red,3.0,8.0,6.0,0.0,0.745,0.757,0.769,0.75 <= Weight < 0.8
12,Hedy,Fleurie,2015,Red,2.0,1.0,10.0,3.0,0.64,0.701,0.762,0.75 <= Weight < 0.8
13,Hedy,Fleurie,2016,Red,2.0,1.0,10.0,3.0,0.622,0.692,0.762,0.75 <= Weight < 0.8
14,Hedy,Dundee Hills Pinot Noir,2015,Red,1.0,3.0,8.0,2.0,0.416,0.608,0.799,0.75 <= Weight < 0.8
15,Hedy,Beaujolais Villages,2016,Red,1.0,1.0,10.0,2.0,0.857,0.775,0.692,0.5 <= Weight < 0.75
16,Hedy,Beaujolais Villages,2018,Red,1.0,1.0,10.0,2.0,0.788,0.74,0.692,0.5 <= Weight < 0.75
17,Hedy,Estate Selection Pinot Noir,2013,Red,1.0,2.0,8.0,0.0,0.632,0.641,0.649,0.5 <= Weight < 0.75
18,Jaimee,Organic Shiraz,2018,Red,5.0,10.0,6.0,6.0,0.686,0.751,0.815,0.8 <= Weight < 0.9
19,Jaimee,Eden Valley Viognier,2016,Red,5.0,9.0,7.0,6.0,0.674,0.749,0.825,0.8 <= Weight < 0.9
20,Jaimee,Eden Valley Viognier,2017,Red,5.0,9.0,7.0,6.0,0.674,0.749,0.825,0.8 <= Weight < 0.9
21,Jaimee,Eden Valley Viognier,2017,Red,5.0,9.0,7.0,6.0,0.658,0.741,0.825,0.8 <= Weight < 0.9
22,Jaimee,Entity,2018,Red,5.0,10.0,6.0,6.0,0.443,0.629,0.815,0.8 <= Weight < 0.9
23,Jaimee,Scrubby Rise Shiraz,2017,Red,3.0,9.0,5.0,6.0,0.923,0.845,0.767,0.75 <= Weight < 0.8
24,Jaimee,Y Series Shiraz-Viognier,2017,Red,4.0,9.0,7.0,6.0,0.874,0.832,0.791,0.75 <= Weight < 0.8
25,Jaimee,Le Poggere Vino Rosso Lazio IGP,2016,Red,2.0,5.0,5.0,4.0,0.867,0.817,0.767,0.75 <= Weight < 0.8
26,Jaimee,Le Poggere Vino Rosso Lazio IGP,2017,Red,2.0,5.0,5.0,4.0,0.841,0.804,0.767,0.75 <= Weight < 0.8
27,Jaimee,Y Series Cabernet Sauvignon,2017,Red,3.0,9.0,7.0,8.0,0.825,0.801,0.776,0.75 <= Weight < 0.8
