WineName,Vintage,VineyardName,Country,Region,Type,Size(ml),Varietal,Critic,Rating,Price,CatalogueRemark,VivinoRating,Dry-Sweet,Light-Bold,Soft-Acidic,Smooth-Tannic,Gentle-Fizzy,NumVivinoRaters,NumReviews,VivinoRemarks,VivinoURL,VivinoPrice,VivinoRetailer,VivinoAvailableVintage,On-PremiseExclusive,Organic and/Or Bio-dynamic,Natural Winemaking,Sustainable Winegrowing,No Preservative
Brut Reserve (White Foil),NV,Champagne Pol Roger,France,Epernay Champagne,Sparkling,750,"Chardonnay, Pinot Noir, Pinot Meunier",JS,92,74,,4.2,,8,10,,,10,5,Among top 10% of all wines in the world (N.V. Vintage),https://www.vivino.com/pol-roger-brut-white-foil-champagne/w/7472650?year=N.V.,,,,N,N,N,N,N
Brut Reserve (White Foil) - Pint,NV,Champagne Pol Roger,France,Epernay Champagne,Sparkling,375,,JS,92,43,,,,,,,,,,,,,,,N,N,N,N,N
Brut Reserve (White Foil) - Magnum,NV,Champagne Pol Roger,France,Epernay Champagne,Sparkling,1500,,JS,92,155,,,,,,,,,,,,,,,N,N,N,N,N
Brut Reserve (White Foil) - Jeroboam,NV,Champagne Pol Roger,France,Epernay Champagne,Sparkling,3000,,JS,92,352,,,,,,,,,,,,,,,N,N,N,N,N
Brut Reserve (White Foil) - Zero Dosage,NV,Champagne Pol Roger,France,Epernay Champagne,Sparkling,750,,JS,93,88,,,,,,,,,,,,,,,N,N,N,N,N
Brut Vintage,2012,Champagne Pol Roger,France,Epernay Champagne,Sparkling,750,Pinot Noir & Chardonnay,RP,94,112,,4.2,,8,9,,,141,2439,,https://www.vivino.com/pol-roger-reserve-brut-champagne/w/1884610?year=2012,$89.00,Vini Vino,NV,N,N,N,N,N
Brut Vintage - Magnum,2012,Champagne Pol Roger,France,Epernay Champagne,Sparkling,1500,Pinot Noir & Chardonnay,RP,94,235,,,,,,,,,,,,,,,N,N,N,N,N
Brut Vintage - Jeroboam,2012,Champagne Pol Roger,France,Epernay Champagne,Sparkling,3000,Pinot Noir & Chardonnay,RP,94,500,,,,,,,,,,,,,,,N,N,N,N,N
Blanc de Blancs,2009,Champagne Pol Roger,France,Epernay Champagne,Sparkling,750,Chardonnay,RP,94,125,,4.2,,8,10,,,778,558,Among top 1% of all wines in the world (2002 Vintage),https://www.vivino.com/pol-roger-blanc-de-blancs-champagne-extra-cuvee-de-reserve/w/1649156?year=2009,$155.00,Vini Vino,2009,N,N,N,N,N
Blanc de Blancs,2012,Champagne Pol Roger,France,Epernay Champagne,Sparkling,750,Chardonnay,RP,99,127,,4.2,,8,10,,,267,558,Among top 1% of all wines in the world (2002 Vintage),https://www.vivino.com/pol-roger-blanc-de-blancs-champagne-extra-cuvee-de-reserve/w/1649156?year=2012,$155.00,Vini Vino,2012,N,N,N,N,N
Rose Vintage,2009,Champagne Pol Roger,France,Epernay Champagne,Sparkling,750,Pinot Noir & Chardonnay,RP,91,120,,4.1,,8,9,,,350,402,,https://www.vivino.com/pol-roger-rose-brut-champagne-extra-cuvee-de-reserve/w/1230164?year=2009,$149.00,Vini Vino,2009,N,N,N,N,N
Cuvee Sir Winston Churchill *Limited,2006,Champagne Pol Roger,France,Epernay Champagne,Sparkling,750,,RP,95,275,Limited,,,,,,,,,,,,,,N,N,N,N,N
